subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
subject2,1,22,0.1058979034,0.1969130039,0.0910151005,0.1094369888,0.1038570404,-0.0055799484,0.1564469337,0.2271258831,0.0706789494,0.1279921532,0.2211019993,0.0931098461,0.1230480671,0.1984810829,0.0754330158,0.1083979607,0.4921720028,0.3837740421,0.0974400043,0.1075220108,0.0100820065,0.178565979,0.108891964,-0.069674015,0.1889660358,0.2461280823,0.0571620464,0.0964210033,0.3292169571,0.2327959538,0.1332218647
subject2,1,23,0.1061007977,0.2266860008,0.1205852032,0.0835809708,0.1144838333,0.0309028625,0.1474909782,0.2482271194,0.1007361412,0.1131210327,1.1724019051,1.0592808723,0.1122031212,0.182240963,0.0700378418,0.0884580612,0.4771471024,0.3886890411,0.1031658649,0.1874060631,0.0842401981,0.1290018559,0.0973498821,-0.0316519737,0.1251790524,0.1356611252,0.0104820728,0.0985999107,0.3477909565,0.2491910458,0.1465759277
subject2,1,24,0.1375310421,0.4018261433,0.2642951012,0.1216299534,0.1563918591,0.0347619057,0.1476500034,0.217826128,0.0701761246,0.1143360138,0.3204829693,0.2061469555,0.1277489662,0.2086639404,0.0809149742,0.0989160538,0.4488549232,0.3499388695,0.1363790035,0.1860070229,0.0496280193,0.1538150311,0.1094779968,-0.0443370342,0.1531760693,0.1674530506,0.0142769814,0.1193089485,0.312333107,0.1930241585,0.1182329655
subject2,1,25,0.1223208904,0.1823220253,0.0600011349,0.1284990311,0.1234738827,-0.0050251484,0.1582679749,0.2479870319,0.0897190571,0.1183271408,0.3214559555,0.2031288147,0.1176211834,0.1874680519,0.0698468685,0.0937709808,0.4131090641,0.3193380833,0.1128129959,0.1174559593,0.0046429634,0.1494820118,0.120429039,-0.0290529728,0.1462600231,0.1564779282,0.010217905,0.0851740837,0.3129971027,0.227823019,0.1031930447
subject2,2,1,0.1007950306,0.1990990639,0.0983040333,0.0922801495,0.102599144,0.0103189945,0.1635949612,0.2591497898,0.0955548286,0.1223530769,0.2957742214,0.1734211445,0.1278917789,0.2672359943,0.1393442154,0.1035838127,0.4660589695,0.3624751568,0.0979738235,0.1491470337,0.0511732101,0.1420547962,0.1041448116,-0.0379099846,0.1631731987,0.1786420345,0.0154688358,0.0977430344,0.2868170738,0.1890740395,0.1129369736
subject2,2,2,0.0806250572,0.2381880283,0.1575629711,0.0982260704,0.1334400177,0.0352139473,0.1330740452,0.2671561241,0.1340820789,0.134210825,0.2416198254,0.1074090004,0.1439170837,0.2776730061,0.1337559223,0.1028261185,0.452080965,0.3492548466,0.1125562191,0.1324260235,0.0198698044,0.1545050144,0.0853571892,-0.0691478252,0.1673150063,0.1878209114,0.0205059052,0.1221389771,0.2716770172,0.1495380402,0.1485939026
subject2,2,3,0.0782170296,0.2117459774,0.1335289478,0.109618187,0.0842812061,-0.0253369808,0.172315836,0.2624359131,0.0901200771,0.1252200603,0.232904911,0.1076848507,0.1524150372,0.3079280853,0.1555130482,0.0968101025,0.4569349289,0.3601248264,0.1126279831,0.1413450241,0.028717041,0.1395280361,0.1045000553,-0.0350279808,0.138491869,0.2048840523,0.0663921833,0.0920889378,0.2510948181,0.1590058804,0.1281170845
subject2,2,4,0.0938751698,0.1734170914,0.0795419216,0.1130619049,0.0992190838,-0.0138428211,0.1720738411,0.2616169453,0.0895431042,0.1167259216,0.237005949,0.1202800274,0.1177740097,0.2822399139,0.1644659042,0.0997071266,0.4460229874,0.3463158607,0.1148149967,0.1687791348,0.053964138,0.1548750401,0.1099879742,-0.0448870659,0.1338400841,0.1626050472,0.0287649632,0.1062870026,0.2773480415,0.171061039,0.0896289349
subject2,2,5,0.1086230278,0.1780190468,0.069396019,0.1336119175,0.1580250263,0.0244131088,0.1633808613,0.2488389015,0.0854580402,0.1255290508,0.3143651485,0.1888360977,0.1042637825,0.1984329224,0.0941691399,0.1092150211,0.4659869671,0.356771946,0.1360731125,0.2539789677,0.1179058552,0.1379320621,0.1296560764,-0.0082759857,0.128524065,0.1529150009,0.0243909359,0.0934948921,0.3210320473,0.2275371552,0.1007738113
subject2,2,6,0.1145160198,0.2632889748,0.1487729549,0.1028499603,0.0886120796,-0.0142378807,0.1578369141,0.2781190872,0.1202821732,0.1329798698,0.2456920147,0.1127121449,0.1137449741,0.3762118816,0.2624669075,0.1247179508,0.4915161133,0.3667981625,0.1123139858,0.1079609394,-0.0043530464,0.1600730419,0.1775920391,0.0175189972,0.1257989407,0.1661479473,0.0403490067,0.1025660038,0.2964019775,0.1938359737,0.1874899864
subject2,2,7,0.0987010002,0.2523448467,0.1536438465,0.1239800453,0.1577281952,0.0337481499,0.141094923,0.2458109856,0.1047160625,0.1370508671,0.4926719666,0.3556210995,0.1234438419,0.1688199043,0.0453760624,0.1080780029,0.4836490154,0.3755710125,0.1103460789,0.1547369957,0.0443909168,0.1165869236,0.1898751259,0.0732882023,0.1259989738,0.1981208324,0.0721218586,0.1044480801,0.5913441181,0.4868960381,0.1238720417
subject2,2,8,0.0783598423,0.1700599194,0.0917000771,0.1386740208,0.1185479164,-0.0201261044,0.1243729591,0.2222211361,0.097848177,0.1274609566,0.2263967991,0.0989358425,0.1428050995,0.2524490356,0.1096439362,0.08923316,0.4182500839,0.3290169239,0.1279439926,0.1228160858,-0.0051279068,0.1473579407,0.1135289669,-0.0338289738,0.1632478237,0.1980538368,0.0348060131,0.1045072079,0.2680411339,0.163533926,0.163132906
subject2,2,9,0.1034948826,0.2035570145,0.1000621319,0.1078448296,0.1326909065,0.024846077,0.1615769863,0.2738289833,0.112251997,0.1322889328,0.2303800583,0.0980911255,0.1574978828,0.2828068733,0.1253089905,0.0977671146,0.4271121025,0.3293449879,0.1285529137,0.1076829433,-0.0208699703,0.1683850288,0.1342720985,-0.0341129303,0.1535980701,0.243074894,0.0894768238,0.1090581417,0.2524840832,0.1434259415,0.1333758831
subject2,2,10,0.1074988842,0.197300911,0.0898020267,0.1247360706,0.1194911003,-0.0052449703,0.1971719265,0.2670059204,0.0698339939,0.1333580017,0.2567880154,0.1234300137,0.1284110546,0.2573609352,0.1289498806,0.0886361599,0.4836330414,0.3949968815,0.1073920727,0.1482679844,0.0408759117,0.1314949989,0.0928680897,-0.0386269093,0.1494650841,0.1873688698,0.0379037857,0.0899732113,0.2780640125,0.1880908012,0.1431241035
subject2,2,11,0.0701520443,0.1896300316,0.1194779873,0.1214640141,0.1161050797,-0.0053589344,0.1731259823,0.2385900021,0.0654640198,0.108093977,0.255300045,0.147206068,0.1149199009,0.1842718124,0.0693519115,0.0926260948,0.4170069695,0.3243808746,0.1185150146,0.1232511997,0.0047361851,0.1431369781,0.1192069054,-0.0239300728,0.133795023,0.173279047,0.039484024,0.0934119225,0.3636949062,0.2702829838,0.1207449436
subject2,2,12,0.0931711197,0.2273819447,0.134210825,0.1489391327,0.1815361977,0.032597065,0.1739518642,0.2603898048,0.0864379406,0.1372451782,0.5127170086,0.3754718304,0.1474280357,0.2174119949,0.0699839592,0.0639979839,0.4784550667,0.4144570827,0.0968799591,0.1618380547,0.0649580956,0.1505379677,0.1462919712,-0.0042459965,0.1316649914,0.1658539772,0.0341889858,0.1185340881,0.3215920925,0.2030580044,0.1139178276
